key,name,latitude,longitude,address,pub_start,pub_end,tel,opentime,wifi,newlatte
111,カフェゴーガ 志木駅前店,35.8227950522,139.574808572,埼玉県新座市東北2-39-1井下田第２ビル1F,,,048-476-0551,"月～金： 07:00～22:00
    土日祝： 08:00～22:00
定休日： 不定休
",1,0
112,カフェゴーガ 碑文谷ダイエー店,35.622259522,139.684114006,東京都目黒区碑文谷4-1-1碑文谷ダイエー2F,,,03-5704-6761,"09:00～21:30
定休日： 不定休
",1,1
113,カフェゴーガ イオンモール川口前川店,35.8325121472,139.706539963,埼玉県川口市前川1-1-11,,,048-262-1044,"10:00～22:00
定休日： 不定休
",1,0
114,カフェゴーガ イオンモール岡崎店,34.9378251039,137.164289236,愛知県岡崎市戸崎町外山38-5,,,0564-59-1010,"10:00～22:00
定休日： 不定休
",1,0
115,カフェゴーガ 明石ビブレ店,34.6815880821,134.938790583,兵庫県明石市大久保町ゆりのき通り1-3-2明石ビブレ,,,078-937-7114,"08:00～22:00
定休日： 不定休
",1,0
116,カフェゴーガ 丸井 柏ＶＡＴ店,35.8618216915,139.971249407,千葉県柏市柏1-1-11丸井柏ＶＡＴ2F,,,04-7167-3508,"07:00～22:30
定休日： 不定休
",0,1
117,カフェゴーガ 柏 高島屋ステーションモール店,35.8628576833,139.970760233,千葉県柏市末広町1-1柏高島屋ステーションモールＳ館1F,,,04-7148-2412,"月～金： 07:00～22:00
    土日祝： 08:00～22:00
定休日： 不定休
",1,0
118,カフェゴーガ マリノアシティ福岡・ピアウォーク店,33.59528222,130.32072663,福岡県福岡市西区小戸2-13-16マリノアシティ福岡,,,092-891-5822,"10:00～21:00
定休日： 不定休
",1,0
119,カフェゴーガ ザザシティ浜松店,34.7051212553,137.729482179,静岡県浜松市中区鍛冶町15ザザシティ浜松西館,,,053-413-5154,"08:00～22:00
定休日： 不定休
",1,0
12,カフェゴーガ 人形町店,35.6870792876,139.781365167,東京都中央区日本橋人形町3-6-7人形町共同ビル1F,,,03-3669-2024,"月～金： 07:00～22:00
    土日祝： 07:00～21:00
定休日： 不定休
",1,1
120,カフェゴーガ 高田馬場早稲田通り店,35.712238347,139.706649658,東京都新宿区高田馬場1-25-32１０８ビル1F,,,03-3207-5800,"07:00～23:00
定休日： 不定休
",1,0
121,カフェゴーガ 仙台エスパル店,38.2591792275,140.881710348,宮城県仙台市青葉区中央1-1-1エスパル1F,,,022-711-1351,"07:00～22:00
定休日： 不定休
",1,1
122,カフェゴーガ アトレ亀戸店,35.69767061,139.826515374,東京都江東区亀戸5-1-1アトレ亀戸1F,,,03-5609-1485,"月～木： 07:00～22:00
    金： 07:00～22:30
    土日祝： 07:00～22:00
定休日： 不定休
",1,1
123,カフェゴーガ 内神田店,35.6907424965,139.764868035,東京都千代田区内神田1-2-8楠本第２ビル1F,,,03-3219-2711,"月～金： 07:00～21:00
    土日祝： 08:00～19:00
定休日： 不定休
",1,0
124,カフェゴーガ 名古屋 アピタ長久手店,35.1724664207,137.03851971,愛知県長久手市戸田谷901-1アピタ長久手店,,,0561-61-7022,"10:00～22:00
定休日： 不定休
",1,1
125,カフェゴーガ 木場イトーヨーカドー店,35.6668249063,139.804076992,東京都江東区木場1-5-30イトーヨーカドー木場店1F,,,03-5606-2791,"月～金： 07:00～23:00
    土日祝： 08:00～23:00
定休日： 不定休
",1,0
126,カフェゴーガ ちゃやまちアプローズタワー店,34.7082080738,135.498893397,大阪府大阪市北区茶屋町19-19アプローズタワー1F,,,06-6376-3531,"07:00～23:00
定休日： 不定休
",1,1
127,カフェゴーガ 南池袋店,35.7270543625,139.712384611,東京都豊島区南池袋2-16-4ＳＫビル,,,03-5391-0089,"月～金： 07:00～22:30
    土日祝： 08:00～22:30
定休日： 不定休
",1,1
128,カフェゴーガ 青葉台東急スクエア店,35.5419818358,139.515834456,神奈川県横浜市青葉区青葉台2-1-1青葉台東急スクエアＳｏｕｔｈ1F,,,045-985-8162,"月～木： 07:00～22:00
    金： 07:00～22:30
    土日祝： 07:00～22:00
定休日： 不定休
",1,1
129,カフェゴーガ 大分わさだトキハ店,33.1883716575,131.581667036,大分県大分市玉沢楠本755-1トキハわさだタウン1F,,,097-542-7895,"09:00～22:00
定休日： 不定休
",1,1
13,カフェゴーガ 四谷３丁目店,35.6875568355,139.72342579,東京都新宿区四谷2-14-4ミツヤ四谷ビル1F,,,03-3356-3991,"月～金： 07:00～21:00
    土： 08:00～21:00
    日祝： 08:00～20:00
定休日： 不定休
",1,1
130,カフェゴーガ イオン南砂店,35.6721207229,139.835549134,東京都江東区南砂6-7-15イオン南砂店1F,,,03-5677-3769,"08:00～23:00
定休日： 不定休
ラストオーダー： 22:30",1,0
131,カフェゴーガ 須磨大丸店,34.6779831165,135.093616502,兵庫県神戸市須磨区中落合2-2-4大丸須磨店,,,078-796-1560,"09:00～21:00
定休日： 不定休
",1,1
132,カフェゴーガ りんくうプレミアム・アウトレット店,34.4059929311,135.293997385,大阪府泉佐野市りんくう往来南3‐28りんくうプレミアム・アウトレット1F,,,072-463-7524,"09:30～20:00
定休日： 不定休
",1,1
133,カフェゴーガ 岡山ロッツ店,34.662525249,133.928339822,岡山県岡山市北区中山下1-11-54ロッツ1F,,,086-233-6070,"08:00～22:00
定休日： 不定休
",1,0
134,カフェゴーガ 王子駅前店,35.7541158005,139.737784033,東京都北区王子1-9-5京徳ビル1F,,,03-3911-7891,"月～金： 07:00～22:00
    土日祝： 08:00～22:00
定休日： 不定休
",0,1
135,カフェゴーガ イオン桑名店,35.0722183533,136.662512498,三重県桑名市新西方1-22イオン桑名,,,0594-21-8517,"09:00～21:00
定休日： 不定休
",1,0
136,カフェゴーガ 表参道B-SIDE店,35.6669315288,139.706785344,東京都渋谷区神宮前5-11-2Ｂ－ＳＩＤＥ,,,03-3797-6821,"08:00～22:00
定休日： 不定休
",1,1
137,カフェゴーガ 銀座マロニエ通り店,35.6722734089,139.767621435,東京都中央区銀座3-7-3銀座オーミビル1F,,,03-3567-5713,"07:00～22:30
定休日： 不定休
",1,0
138,カフェゴーガ イオン幕張店,35.651672949,140.044517165,千葉県千葉市美浜区ひび野1-3イオン幕張1F,,,043-276-2883,"08:00～22:00
定休日： 不定休
",1,0
139,カフェゴーガ 成田空港店,35.7654583838,140.384507023,千葉県成田市三里塚御料牧場1-1成田空港第１旅客ターミナルビル,,,0476-33-0215,"07:00～21:30
定休日： 不定休
",0,0
14,カフェゴーガ 下北沢店,35.6628298876,139.66722743,東京都世田谷区北沢2-30-6下北沢ＵＣビル1F,,,03-3467-0266,"08:00～22:00
定休日： 不定休
",1,0
140,カフェゴーガ 紙屋町シャレオ店,34.394050768,132.457181863,広島県広島市中区紙屋町地下街シャレオ202,,,082-546-3135,"07:30～22:00
定休日： 不定休
",1,0
141,カフェゴーガ 名駅地下街 サンロード店,35.1706705864,136.884340653,愛知県名古屋市中村区名駅4-7-25名駅地下街サンロード,,,052-586-3252,"07:30～21:30
定休日： 不定休
",1,1
142,カフェゴーガ 武蔵境イトーヨーカドー店,35.7011775351,139.544726949,東京都武蔵野市境南町2-3-6イトーヨーカドー武蔵境店西館,,,0422-34-7308,"07:00～22:30
定休日： 不定休
",1,1
143,カフェゴーガ 立川伊勢丹店,35.6998909263,139.412944063,東京都立川市曙町2-5-1伊勢丹立川店1F,,,042-526-8920,"07:30～22:00
定休日： 不定休
",0,1
144,カフェゴーガ カナート洛北店,35.0409154354,135.778996203,京都府京都市左京区高野西開町36カナート洛北1F,,,075-712-1400,"10:00～21:00
定休日： 不定休
",1,0
145,カフェゴーガ 赤坂溜池タワー店,35.6712510784,139.739256893,東京都港区赤坂2-17-1赤坂溜池タワー,,,03-3505-6810,"月～金： 07:00～19:00
定休日： 土 ・日・祝
",1,0
146,カフェゴーガ 浅草雷門通り店,35.7108678112,139.794803789,東京都台東区雷門2-16-7グランコピエ浅草雷門,,,03-5828-8091,"07:00～22:00
定休日： 不定休
",1,1
147,カフェゴーガ 新宿南口店,35.6869611441,139.696093366,東京都渋谷区代々木2-13-8エスト新宿ビル,,,03-5388-9411,"月～金： 07:00～21:00
    土： 07:30～21:00
    日祝： 07:30～20:30
定休日： 不定休
",1,1
148,カフェゴーガ 田町駅西口店,35.647060494,139.748506406,東京都港区芝5-33-8第一田町ビル1F,,,03-3452-8840,"月～金： 06:30～21:00
    土： 08:00～20:00
    日祝： 09:00～20:00
定休日： 不定休
",1,1
149,カフェゴーガ イオン茨木店,34.8117352607,135.558315639,大阪府茨木市松ヶ本町8-30イオン茨木ショッピングセンター１F,,,072-625-1197,"09:00～22:00
定休日： 不定休
",1,1
15,カフェゴーガ 明大前店,35.6691250249,139.650024124,東京都世田谷区松原2-46-5Ｒｙｕ’ｓビル1F,,,03-5376-6931,"07:30～22:00
定休日： 不定休
",1,1
150,カフェゴーガ イオン光明池店,34.4703373072,135.477361138,大阪府和泉市室堂町824-55イオン光明池,,,0725-55-7830,"09:00～21:30
定休日： 不定休
",1,0
151,カフェゴーガ ホテルセントラーザ博多店,33.5906039331,130.421962882,福岡県福岡市博多区博多駅中央街4-23ホテルセントラーザ博多1F,,,092-471-7125,"月～土： 07:00～24:00
    日祝： 07:00～23:00
定休日： 不定休
",1,0
152,カフェゴーガ 千葉オーロラモールジュンヌ店,35.6110688023,140.115075675,千葉県千葉市中央区新町1001オーロラモールジュンヌ,,,043-245-2533,"月～金： 07:00～21:30
    土日祝： 08:00～21:30
定休日： 不定休
",1,1
153,カフェゴーガ 新宿ダイアンビル店,35.6902886658,139.701812182,東京都新宿区新宿3-36-6大安ビル1F,,,03-3353-4775,"07:00～23:00
定休日： 不定休
",1,1
154,カフェゴーガ ホテルグランテラス 仙台国分町店,38.2624145019,140.869518989,宮城県仙台市青葉区国分町2-2-2ホテルグランテラス仙台国分町1F,,,022-712-5272,"月～木： 07:30～22:00
    金： 07:30～24:00
    土： 08:00～24:00
    日祝： 08:00～22:00
定休日： 不定休
",1,1
155,カフェゴーガ 横浜北幸店,35.4668944108,139.61692674,神奈川県横浜市西区北幸2-6-1横浜APビル,,,045-320-2136,"07:00～22:00
定休日： 不定休
",1,1
156,カフェゴーガ 宇都宮福田屋店,36.5735670995,139.900199478,栃木県宇都宮市今泉町237福田屋ショッピングプラザ宇都宮店,,,028-624-1381,"10:00～21:00
定休日： 不定休
",1,1
157,カフェゴーガ 豊洲センタービル店,35.6563022886,139.79651977,東京都江東区豊洲3-3-3豊洲センタービル1F,,,03-5548-1458,"月～金： 07:00～21:00
    土日祝： 08:00～20:00
定休日： 不定休
",1,1
158,カフェゴーガ 新横浜３丁目店,35.5107413984,139.61754467,神奈川県横浜市港北区新横浜3-17-2友泉新横浜ビル,,,045-473-4681,"07:00～22:00
定休日： 不定休
",1,0
159,カフェゴーガ 栄東急イン店,35.1684505981,136.903220576,愛知県名古屋市中区栄3-1-8名古屋栄東急イン1F,,,052-262-2156,"月～木： 07:00～22:00
    金土： 07:00～22:30
    日祝： 07:00～22:00
定休日： 不定休
",1,0
16,カフェゴーガ 学芸大駅前店,35.6291476774,139.684299785,東京都目黒区鷹番3-15-25鳥芳ビル1F,,,03-5722-5490,"月～金： 07:30～22:30
    土日祝： 08:00～22:30
定休日： 不定休
",1,0
160,カフェゴーガ 天王洲店,35.6233966471,139.749127999,東京都品川区東品川2-2-4天王洲ファーストタワー,,,03-5461-0652,"月～金： 07:00～22:00
    土日祝： 07:00～21:00
定休日： 不定休
",1,1
161,カフェゴーガ 丸の内新東京ビル店,35.6774605449,139.762643832,東京都千代田区丸の内3-3-1丸の内新東京ビル,,,03-3216-3552,"月～金： 07:00～22:30
    土： 08:00～21:00
    日祝： 10:00～20:00
定休日： 不定休
",1,0
162,カフェゴーガ 京都Porta店,34.9865303538,135.759352839,京都府京都市下京区烏丸通塩小路下ル東塩小路町902駅前地下街ポルタ,,,075-343-2377,"07:30～22:00
定休日： 不定休
",1,0
163,カフェゴーガ 奈良学園前駅店,34.6968845113,135.750391642,奈良県奈良市学園南3-1-5奈良西部会館1F,,,0742-48-5056,"月～土： 07:00～22:00
    日祝： 08:00～22:00
定休日： 不定休
",1,1
164,カフェゴーガ アトレ松戸店,35.7847892511,139.90051855,千葉県松戸市松戸1181アトレ松戸,,,047-331-5818,"月～土： 07:00～22:00
    日祝： 08:00～22:00
定休日： 不定休
",1,0
165,カフェゴーガ 神田駅前店,35.6933484411,139.771295437,東京都千代田区神田鍛冶町3-2神田サンミビル,,,03-3251-7039,"月～木： 06:30～22:00
    金： 06:30～22:30
    土： 08:00～20:00
    日祝： 09:00～19:00
定休日： 不定休
",1,1
166,カフェゴーガ 姫路フォーラス店,34.8293738134,134.692915031,兵庫県姫路市東駅前町100姫路フォーラス,,,079-221-3077,"08:00～22:00
定休日： 不定休
",1,0
167,カフェゴーガ 中野通り店,35.7068390381,139.665442218,東京都中野区中野5-64-5中野サンピオーネビル1F,,,03-3388-2980,"07:00～22:30
定休日： 不定休
",1,1
168,カフェゴーガ 宇都宮パルコ店,36.5607432288,139.886323443,栃木県宇都宮市馬場通り3-1-1宇都宮パルコ1F,,,028-632-8301,"月～土： 08:00～21:00
    日祝： 09:00～21:00
定休日： 不定休
",1,0
169,カフェゴーガ 高崎駅ビル モントレー店,36.3228811735,139.0118348,群馬県高崎市八島町222高崎駅ビルモントレー2F,,,027-326-4919,"月～木： 07:00～22:00
    金土： 07:00～22:30
    日祝： 07:00～22:00
定休日： 不定休
",1,1
17,カフェゴーガ 西五反田店,35.623615611,139.72295794,東京都品川区西五反田1-18-1ゴタンダエクス1F,,,03-5434-2219,"07:00～22:30
定休日： 不定休
",1,1
170,カフェゴーガ 上野マルイ店,35.7111774489,139.775959784,東京都台東区上野6-15-1上野マルイ店B1F,,,03-3837-7470,"07:00～22:30
定休日： 不定休
",0,0
171,カフェゴーガ 新宿グリーンタワービル店,35.6922521317,139.68961866,東京都新宿区西新宿6-14-1新宿グリーンタワー,,,03-3342-7337,"月～金： 07:00～20:00
    土日祝： 07:30～19:30
定休日： 不定休
",1,0
172,カフェゴーガ 郡山モルティ店,37.3995261618,140.387879278,福島県郡山市駅前2-11-1ビッグアイモルティ2F,,,024-921-4556,"07:30～21:00
定休日： 不定休
",1,1
173,カフェゴーガ 新潟万代シテイ店,37.9166636953,139.056009131,新潟県新潟市中央区万代1-6-1,,,025-249-5110,"07:00～22:00
定休日： 不定休
",1,1
174,カフェゴーガ 飯能ＰｅＰｅ店,35.8509325863,139.319685131,埼玉県飯能市仲町11-21飯能ＰｅＰｅ2F,,,042-974-6866,"07:00～22:00
定休日： 不定休
",1,1
175,カフェゴーガ 大分フォーラス店,33.2361514372,131.607191882,大分県大分市中央町1-2-7大分フォーラス1F,,,097-536-8166,"月～金： 07:00～22:00
    土日祝： 08:00～22:00
定休日： 不定休
",1,1
176,カフェゴーガ センター南店,35.5428994101,139.573412965,神奈川県横浜市都筑区茅ヶ崎中央14キーサウス,,,045-943-1815,"07:30～22:00
定休日： 不定休
",1,0
177,カフェゴーガ 三井住友銀行名古屋ビル店,35.1685421834,136.899124523,愛知県名古屋市中区錦2-18-19三井住友銀行名古屋ビル1F,,,052-232-1516,"月～金： 07:00～22:00
    土： 08:00～22:00
    日祝： 08:00～21:00
定休日： 不定休
",1,0
178,カフェゴーガ 横須賀モアーズシティ店,35.2781533132,139.670552089,神奈川県横須賀市若松町2-30横須賀モアーズシティ2F,,,046-822-1341,"月～木： 07:00～22:00
    金土： 07:00～22:30
    日祝： 07:00～22:00
定休日： 不定休
",1,0
179,カフェゴーガ 仙台クリスロード店,38.261620271,140.876885081,宮城県仙台市青葉区中央2-5-3第二やまふくビル,,,022-265-6610,"月～木： 07:30～22:00
    金： 07:30～22:30
    土： 08:00～22:30
    日祝： 08:00～22:00
定休日： 不定休
",1,1
18,カフェゴーガ 品川インターシティ店,35.6266870033,139.741959832,東京都港区港南2-15-2品川インターシティ2F(206),,,03-5462-8771,"月～金： 07:30～21:00
    土日祝： 08:00～20:00
定休日： 不定休
",1,0
180,カフェゴーガ 広島駅アッセ店,34.3968182939,132.475611038,広島県広島市南区松原町2-37広島ステーションビル（アッセ）,,,082-261-0153,"07:00～22:00
定休日： 不定休
",1,1
181,カフェゴーガ 四ツ橋店,34.6736767328,135.496913762,大阪府大阪市西区北堀江1-1-18第一住建四ツ橋ビル,,,06-6532-6567,"月～金： 07:00～22:30
    土日祝： 08:00～22:30
定休日： 不定休
",1,1
182,カフェゴーガ 愛宕グリーンヒルズ店,35.6619194655,139.748803752,東京都港区愛宕2-5-1ＭＯＲＩタワー（愛宕グリーンヒルズ）,,,03-3435-1755,"月～金： 07:00～21:00
    土： 08:00～19:00
    日祝： 09:00～19:00
定休日： 不定休
",1,0
183,カフェゴーガ 中目黒山手通り店,35.6453156254,139.697634044,東京都目黒区上目黒3-1-3Ｊフラッツ中目黒,,,03-5721-9293,"07:00～22:30
定休日： 不定休
",1,0
184,カフェゴーガ 武蔵浦和ＢＥＡＮＳ店,35.8457146937,139.646925694,埼玉県さいたま市南区別所7-12-1武蔵浦和ビーンズ1F,,,048-865-3505,"月～木： 07:00～22:00
    金土日祝： 07:00～22:30
定休日： 不定休
",1,1
185,カフェゴーガ 三宮ダイエー店,34.6952241754,135.196204966,兵庫県神戸市中央区雲井通6-1-15三宮ダイエー,,,078-241-6715,"月～金： 07:00～22:00
    土日祝： 08:00～22:00
定休日： 不定休
",1,0
186,カフェゴーガ 大津パルコ店,35.0041897427,135.880207822,滋賀県大津市打出浜14-30大津パルコ1F,,,077-527-7107,"08:30～22:00
定休日： 不定休
",1,0
187,カフェゴーガ ルミネ大宮店,35.9062558835,139.624583651,埼玉県さいたま市大宮区錦町630ルミネ大宮２3F,,,048-648-1107,"07:00～23:00
定休日： 不定休
",1,1
188,カフェゴーガ ららぽーとTOKYO-BAY　南館店,35.6846904484,139.992223599,千葉県船橋市浜町2-1-1ららぽーとTOKYO-BAY南館２Ｆ,,,047-437-7068,"月～金： 08:00～21:00
    土日祝： 09:00～21:00
定休日： 不定休
",1,1
189,カフェゴーガ 三宮生田新道店,34.6930693147,135.190979943,兵庫県神戸市中央区下山手通2-1-13第１３シャルマンビル,,,078-331-0038,"月～金： 08:00～23:00
    土日祝： 08:30～23:00
定休日： 不定休
",1,1
19,カフェゴーガ 本郷東大前店,35.707933642,139.760787583,東京都文京区本郷4-1-4コスモス本郷1F,,,03-3818-1102,"月～土： 07:00～22:00
    日祝： 08:00～21:00
定休日： 不定休
",1,1
190,カフェゴーガ 平塚ラスカ店,35.3277129672,139.34992199,神奈川県平塚市宝町1-1ラスカステーションビル3F,,,0463-24-2407,"07:00～22:00
定休日： 不定休
",1,1
191,カフェゴーガ 静岡呉服町通り店,34.9736686925,138.384362093,静岡県静岡市葵区呉服町2-8-9アクロス辻源ビル1F,,,054-272-8800,"月～金： 07:00～22:00
    土日祝： 08:00～22:00
定休日： 不定休
",1,0
192,カフェゴーガ 金町駅南口店,35.7688973887,139.871516413,東京都葛飾区金町6-4-2ラヴィクレール金町,,,03-3826-2323,"月～土： 07:00～22:00
    日祝： 08:00～22:00
定休日： 不定休
",1,0
193,カフェゴーガ 広島本通り店,34.3923415805,132.461426589,広島県広島市中区本通り9-1,,,082-240-0231,"月～木： 08:00～22:00
    金土： 08:00～23:00
    日祝： 08:00～22:00
定休日： 不定休
",1,0
194,カフェゴーガ 日吉店,35.5537717462,139.646506395,神奈川県横浜市港北区日吉2-2-3山村ビル1F,,,045-564-5082,"07:00～22:30
定休日： 不定休
",1,0
195,カフェゴーガ 京都祇園ホテル店,35.0036102091,135.776142047,京都府京都市東山区祇園町南側555祇園ホテル1F,,,075-551-2198,"08:00～22:00
定休日： 不定休
",1,1
196,カフェゴーガ ウィング上大岡店,35.4092502171,139.596350548,神奈川県横浜市港南区上大岡西1-6-1ウィング上大岡2F,,,045-846-2909,"08:00～21:00
定休日： 不定休
",1,1
197,カフェゴーガ 晴海 トリトンスクエア店,35.6564556309,139.782066797,東京都中央区晴海1-8-10晴海アイランドトリトンスクエアオフィスタワーX,,,03-5548-4478,"月～金： 07:00～20:00
    土： 09:00～17:00
定休日： 日・祝
",1,0
198,カフェゴーガ フォーシーズ溜池山王ビル店,35.6700340261,139.741533149,東京都港区赤坂2-10-11フォーシーズ溜池山王ビル,,,03-5570-3010,"月～金： 07:00～22:00
    土： 08:00～20:00
    日祝： 08:00～19:00
定休日： 不定休
",1,1
199,カフェゴーガ 西武本川越駅店,35.9145813855,139.481664304,埼玉県川越市新富町1-22本川越駅構内,,,049-225-8840,"月～木： 07:00～22:00
    金土： 07:00～22:30
    日祝： 07:00～22:00
定休日： 不定休
",1,0
2,カフェゴーガ 日比谷店,35.6702583922,139.754322632,東京都千代田区内幸町,,,03-3506-8170,"月～金： 07:30～20:00
    土： 08:00～19:00
定休日： 日・祝
",1,1
20,カフェゴーガ 渋谷文化村通り店,35.6602029037,139.696591779,東京都渋谷区道玄坂2-25-6ホリウチビル1F,,,03-5456-1950,"07:00～28:45
定休日： 不定休
",1,0
200,カフェゴーガ からすま京都ホテル店,35.0018962105,135.759365741,京都府京都市下京区烏丸通綾小路下ル二帖半敷町652からすま京都ホテル,,,075-344-5232,"07:00～23:00
定休日： 不定休
",1,1
201,カフェゴーガ 取手ボックスヒル店,35.8966479056,140.063178224,茨城県取手市中央町2-5取手ボックスヒル3F,,,0297-72-1710,"月～土： 07:00～22:00
    日祝： 08:00～22:00
定休日： 不定休
",1,1
202,カフェゴーガ イオンモール東浦店,34.9783874507,136.97452785,愛知県知多郡東浦町緒川申新田二区67-8,,,0562-82-2723,"09:00～22:00
定休日： 不定休
",1,1
203,カフェゴーガ 名鉄 神宮前駅店,35.1261447137,136.911586551,愛知県名古屋市熱田区神宮3-6-34名鉄パレ百貨店神宮,,,052-683-5013,"月～土： 07:00～21:30
    日祝： 07:00～21:00
定休日： 不定休
",1,1
204,カフェゴーガ なんば 御堂筋グランドビル店,34.6676190994,135.499891572,大阪府大阪市中央区難波2-2-3御堂筋グランドビルB1F,,,06-6212-4550,"月～金： 07:30～22:30
    土日祝： 08:00～22:30
定休日： 不定休
",1,1
205,カフェゴーガ 草津Ａ・ＳＱＵＡＲＥ店,35.0246403465,135.960490491,滋賀県草津市西渋川1-23-1Ａ・ＳＱＵＡＲＥ,,,077-561-6578,"10:00～22:00
定休日： 不定休
",1,0
206,カフェゴーガ ＮＨＫ広島ビル店,34.3904705669,132.455554385,広島県広島市中区大手町2-11-10ＮＨＫ広島放送センター2F,,,082-240-1136,"月～金： 07:30～21:00
    土日祝： 08:30～20:00
定休日： 不定休
",1,0
207,カフェゴーガ 東香里ＴＳＵＴＡＹＡ店,34.7818901014,135.652690287,大阪府枚方市東香里3-3-13東香里ＴＳＵＴＡＹＡ,,,072-852-9511,"月～木： 10:00～22:00
    金土： 10:00～22:30
    日祝： 10:00～22:00
定休日： 不定休
",1,1
208,カフェゴーガ 桜通り大津店,35.1739714443,136.905959539,愛知県名古屋市中区丸の内3-20-17中外東京海上ビル1F,,,052-962-1055,"月～木： 07:00～22:00
    金土： 07:00～22:30
    日祝： 08:00～22:00
定休日： 不定休
",1,0
209,カフェゴーガ 福岡朝日ビル店,33.5906541443,130.418457615,福岡県福岡市博多区博多駅前2-1-1福岡朝日ビル1F,,,092-483-7255,"月～土： 07:00～22:30
    日祝： 07:00～22:00
定休日： 不定休
",1,0
21,カフェゴーガ 梅田ＨＥＰ ＦＩＶＥ店,34.7042401986,135.500820919,大阪府大阪市北区角田町5-15阪急ファイブ(701),,,06-6366-3680,"11:00～23:00
定休日： 不定休
",1,1
210,カフェゴーガ 横浜チャイナタウン店,35.4439904542,139.647724682,神奈川県横浜市中区山下町79-1イーストハイム1F,,,045-212-1183,"07:30～22:30
定休日： 不定休
",1,0
211,カフェゴーガ ギャラリエアピタ知立店,34.9982219764,137.052927926,愛知県知立市長篠町大山18-1ギャラリエアピタ知立,,,0566-81-7373,"08:00～22:00
定休日： 不定休
",1,0
212,カフェゴーガ 新所沢パルコ店,35.80533927,139.45494072,埼玉県所沢市緑町1-2新所沢パルコ,,,04-2998-8167,"08:00～22:00
定休日： 不定休
",1,0
213,カフェゴーガ 新大阪ニッセイビル店,34.7341805322,135.496522398,大阪府大阪市淀川区宮原3-4-30ニッセイ新大阪ビル,,,06-6350-1778,"07:30～22:00
定休日： 不定休
",1,0
214,カフェゴーガ アズ熊谷店,36.1399212422,139.390272906,埼玉県熊谷市筑波2-115熊谷駅ビルＡＺ２,,,048-527-4510,"07:00～22:30
定休日： 不定休
",1,0
